datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,SHUSS_1000_C128,SH_1000,SH_1000,1222,1182,1210,1193
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C128,SH_1000,1193,1210,1203,1199
2021_04_07_19_26_40,SH_1000,RAVE_1000,RAVE_1000,1203,1152,1191,1163
2021_04_07_19_26_40,RAVE_1000,SH_1000,SH_1000,1163,1191,1153,1200
2021_04_07_19_26_40,UCT_1000,FLAT_1000,FLAT_1000,1165,955,1149,970
2021_04_07_19_26_40,FLAT_1000,UCT_1000,UCT_1000,970,1149,964,1154
2021_04_07_19_26_40,RAVE_1000,UCB_1000,RAVE_1000,1153,1080,1160,1072
2021_04_07_19_26_40,UCB_1000,RAVE_1000,RAVE_1000,1072,1160,1064,1167
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C16,1263,1326,1274,1314
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C16,1314,1274,1302,1285
2021_04_07_19_26_40,SHUSS_1000_C16,UCB_1000,SHUSS_1000_C16,1285,1064,1289,1059
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C16,SHUSS_1000_C16,1059,1289,1054,1293
2021_04_07_19_26_40,SHUSS_1000_C256,RAVE_1000,RAVE_1000,1223,1167,1211,1178
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C256,RAVE_1000,1178,1211,1188,1200
2021_04_07_19_26_40,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1293,964,1295,961
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C16,SHUSS_1000_C16,961,1295,958,1297
2021_04_07_19_26_40,SH_1000,FLAT_1000,SH_1000,1200,958,1203,954
2021_04_07_19_26_40,FLAT_1000,SH_1000,FLAT_1000,954,1203,970,1186
2021_04_07_19_26_40,SHUSS_1000_C128,FLAT_1000,SHUSS_1000_C128,1199,970,1203,965
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C128,SHUSS_1000_C128,965,1203,960,1207
2021_04_07_19_26_40,SHUSS_1000_C128,GRAVE_1000,SHUSS_1000_C128,1207,1245,1218,1233
