Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,SHUSS_1000_C16,UCB_1000,SHUSS_1000_C16,1289,944,1291,941
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C16,UCB_1000,941,1291,958,1273
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C16,1273,1336,1284,1324
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C16,1324,1284,1312,1295
,2021_04_08_14_15_58,SH_1000,FLAT_1000,FLAT_1000,1101,948,1086,962
,2021_04_08_14_15_58,FLAT_1000,SH_1000,SH_1000,962,1086,955,1092
,2021_04_08_14_15_58,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1318,1211,1325,1203
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1203,1325,1196,1331
,2021_04_08_14_15_58,SHUSS_1000_C16,UCT_1000,UCT_1000,1295,1196,1282,1208
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1208,1282,1200,1289
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C64,1289,1368,1281,1375
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C16,1375,1281,1362,1293
,2021_04_08_14_15_58,SHUSS_1000_C16,GRAVE_1000,SHUSS_1000_C16,1293,1149,1299,1142
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C16,GRAVE_1000,1142,1299,1156,1284
,2021_04_08_14_15_58,GRAVE_1000,FLAT_1000,GRAVE_1000,1156,955,1160,950
